"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 12:04:14 MSK 2026","Thu Sep 17 12:04:15 MSK 2026","133","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsOk","Создание уникального пользователя: статус 200","Проверяем, что создание уникального пользователя возвращает статус 200"
"passed","Thu Sep 17 12:04:23 MSK 2026","Thu Sep 17 12:04:28 MSK 2026","4307","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithValidIngredientsReturnsOk","Создание заказа с валидными ингредиентами: статус 200","Проверяем, что создание заказа с валидными ингредиентами возвращает 200"
"passed","Thu Sep 17 12:04:11 MSK 2026","Thu Sep 17 12:04:12 MSK 2026","410","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsCorrectEmail","Логин существующего пользователя: корректный email","Проверяем, что email в ответе совпадает с отправленным"
"passed","Thu Sep 17 12:04:14 MSK 2026","Thu Sep 17 12:04:14 MSK 2026","149","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsAccessToken","Создание уникального пользователя: есть accessToken","Проверяем, что ответ содержит accessToken"
"passed","Thu Sep 17 12:04:12 MSK 2026","Thu Sep 17 12:04:12 MSK 2026","73","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutNameReturnsCorrectMessage","Создание пользователя без имени: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Thu Sep 17 12:04:11 MSK 2026","Thu Sep 17 12:04:11 MSK 2026","312","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithInvalidCredentialsReturnsCorrectMessage","Логин с неверными данными: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Thu Sep 17 12:04:12 MSK 2026","Thu Sep 17 12:04:12 MSK 2026","361","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsCorrectName","Логин существующего пользователя: корректное имя","Проверяем, что имя в ответе совпадает с отправленным"
"passed","Thu Sep 17 12:04:28 MSK 2026","Thu Sep 17 12:04:29 MSK 2026","256","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutIngredientsReturnsCorrectMessage","Создание заказа без ингредиентов: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Thu Sep 17 12:04:10 MSK 2026","Thu Sep 17 12:04:11 MSK 2026","462","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsAccessToken","Логин существующего пользователя: есть accessToken","Проверяем, что ответ содержит accessToken"
"passed","Thu Sep 17 12:04:09 MSK 2026","Thu Sep 17 12:04:09 MSK 2026","390","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithInvalidCredentialsReturnsUnauthorized","Логин с неверными данными: статус 401","Проверяем, что логин с неверными данными возвращает 401"
