"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 16 20:26:42 MSK 2026","Wed Sep 16 20:26:42 MSK 2026","215","","tests.UserCreationTest","","tests.UserCreationTest","testCreateExistingUserReturnsCorrectMessage","Создание существующего пользователя: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Wed Sep 16 20:26:43 MSK 2026","Wed Sep 16 20:26:43 MSK 2026","308","","tests.UserCreationTest","","tests.UserCreationTest","testCreateExistingUserReturnsSuccessFalse","Создание существующего пользователя: success=false","Проверяем, что ответ содержит success=false"
"passed","Wed Sep 16 20:26:39 MSK 2026","Wed Sep 16 20:26:39 MSK 2026","335","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsSuccessTrue","Логин существующего пользователя: success=true","Проверяем, что ответ содержит success=true"
"passed","Wed Sep 16 20:26:38 MSK 2026","Wed Sep 16 20:26:38 MSK 2026","328","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithInvalidCredentialsReturnsUnauthorized","Логин с неверными данными: статус 401","Проверяем, что логин с неверными данными возвращает 401"
"passed","Wed Sep 16 20:26:41 MSK 2026","Wed Sep 16 20:26:41 MSK 2026","50","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutNameReturnsForbidden","Создание пользователя без имени: статус 403","Проверяем, что создание без имени возвращает 403"
"passed","Wed Sep 16 20:26:43 MSK 2026","Wed Sep 16 20:26:48 MSK 2026","4329","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithAuthReturnsOk","Создание заказа с авторизацией: статус 200","Проверяем, что создание заказа с авторизацией возвращает 200"
"passed","Wed Sep 16 20:26:41 MSK 2026","Wed Sep 16 20:26:41 MSK 2026","130","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutPasswordReturnsCorrectMessage","Создание пользователя без пароля: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Wed Sep 16 20:26:57 MSK 2026","Wed Sep 16 20:26:57 MSK 2026","391","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutIngredientsReturnsCorrectMessage","Создание заказа без ингредиентов: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Wed Sep 16 20:26:40 MSK 2026","Wed Sep 16 20:26:41 MSK 2026","514","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsCorrectEmail","Логин существующего пользователя: корректный email","Проверяем, что email в ответе совпадает с отправленным"
"passed","Wed Sep 16 20:26:42 MSK 2026","Wed Sep 16 20:26:42 MSK 2026","123","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutEmailReturnsCorrectMessage","Создание пользователя без email: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Wed Sep 16 20:26:57 MSK 2026","Wed Sep 16 20:26:57 MSK 2026","270","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutAuthReturnsOk","Создание заказа без авторизации: статус 200","Проверяем, что создание заказа без авторизации возвращает 200"
"passed","Wed Sep 16 20:26:52 MSK 2026","Wed Sep 16 20:26:52 MSK 2026","360","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutAuthReturnsSuccessTrue","Создание заказа без авторизации: success=true","Проверяем, что ответ содержит success=true при создании без авторизации"
"passed","Wed Sep 16 20:26:42 MSK 2026","Wed Sep 16 20:26:42 MSK 2026","77","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutPasswordReturnsForbidden","Создание пользователя без пароля: статус 403","Проверяем, что создание без пароля возвращает 403"
